Model,Macro-F1,Balanced Accuracy,Number of TEST Errors
Majority Class,0.0531877108861658,0.1666666666666666,2556
k-NN,0.8443235875704587,0.8420742559654637,491
SVM,0.8971298648661375,0.8936657613403356,347
MLP,0.8966157460880321,0.894957257219872,340
