Model,Feature Group,Number of Features,Macro-F1,Balanced Accuracy,Delta Macro-F1 vs All
k-NN,Accelerometer,348,0.8096848394266455,0.8072375857278357,-0.03463874814381318
k-NN,Gyroscope,211,0.6904616429999105,0.6953582306434466,-0.15386194457054814
k-NN,All,561,0.8443235875704587,0.8420742559654637,0.0
SVM,Accelerometer,348,0.8556850413333246,0.8498969458194406,-0.04144482353281298
SVM,Gyroscope,211,0.7979236267863704,0.8005207771309166,-0.09920623807976714
SVM,All,561,0.8971298648661375,0.8936657613403356,0.0
MLP,Accelerometer,348,0.8615822604548553,0.858658718055278,-0.035033485633176764
MLP,Gyroscope,211,0.7508063444450471,0.7544981178379772,-0.14580940164298495
MLP,All,561,0.8966157460880321,0.894957257219872,0.0
